speaker_id,speaker_name,country,eu_political_group_id,eu_political_group_role,eu_political_group_valid_from,eu_political_group_valid_to,national_party_raw,Party
118859,Roberta METSOLA,http://publications.europa.eu/resource/authority/country/MLT,org/5153,def/ep-roles/MEMBER,7/2/19,7/15/24,EPP,
28298,Iratxe GARCÍA PÉREZ,http://publications.europa.eu/resource/authority/country/ESP,org/1534,def/ep-roles/MEMBER,7/20/04,7/13/09,S&D,
197781,Malik AZMANI,http://publications.europa.eu/resource/authority/country/NLD,org/7035,def/ep-roles/MEMBER_BUREAU,7/16/24,,Renew Europe,
103381,Terry REINTKE,http://publications.europa.eu/resource/authority/country/DEU,org/4285,def/ep-roles/MEMBER,7/1/14,7/1/19,Greens/EFA,
236051,Eric MINARDI,http://publications.europa.eu/resource/authority/country/FRA,org/5588,def/ep-roles/MEMBER,7/29/22,7/15/24,ID,
197529,Leila CHAIBI,http://publications.europa.eu/resource/authority/country/FRA,org/6259,def/ep-roles/MEMBER,12/18/20,7/15/24,The Left,
24942,Ana MIRANDA PAZ,http://publications.europa.eu/resource/authority/country/ESP,org/5155,def/ep-roles/MEMBER,9/5/22,7/15/24,Greens/EFA,
197711,Dolors MONTSERRAT,http://publications.europa.eu/resource/authority/country/ESP,org/7018,def/ep-roles/CHAIR_VICE,7/16/24,,EPP,
2341,Michael GAHLER,http://publications.europa.eu/resource/authority/country/DEU,org/2952,def/ep-roles/MEMBER,7/14/09,7/23/09,EPP,
197773,Bert-Jan RUISSEN,http://publications.europa.eu/resource/authority/country/NLD,org/5148,def/ep-roles/MEMBER_BUREAU,7/2/19,7/15/24,ECR,
197805,Silvia MODIG,http://publications.europa.eu/resource/authority/country/FIN,org/5151,def/ep-roles/MEMBER,7/2/19,12/17/20,The Left,
197628,Jean-Paul GARRAUD,http://publications.europa.eu/resource/authority/country/FRA,org/7150,def/ep-roles/MEMBER_BUREAU,7/16/24,,PfE,
197771,Vladimír BILČÍK,http://publications.europa.eu/resource/authority/country/SVK,org/5153,def/ep-roles/MEMBER,7/2/19,7/15/24,EPP,
1927,Peter LIESE,http://publications.europa.eu/resource/authority/country/DEU,org/2952,def/ep-roles/MEMBER_BUREAU,7/24/09,6/30/14,EPP,
96725,Bas EICKHOUT,http://publications.europa.eu/resource/authority/country/NLD,org/5155,def/ep-roles/CHAIR_VICE,7/2/19,7/15/24,Greens/EFA,
124929,Ivan ŠTEFANEC,http://publications.europa.eu/resource/authority/country/SVK,org/5153,def/ep-roles/MEMBER,7/2/19,7/15/24,EPP,
197677,Günther SIDL,http://publications.europa.eu/resource/authority/country/AUT,org/7038,def/ep-roles/MEMBER,7/16/24,,S&D,
197398,Pär HOLMGREN,http://publications.europa.eu/resource/authority/country/SWE,org/7028,def/ep-roles/MEMBER,7/16/24,,Greens/EFA,
238639,Johan NISSINEN,http://publications.europa.eu/resource/authority/country/SWE,org/5148,def/ep-roles/MEMBER,10/11/22,7/15/24,ECR,
192635,Danilo Oscar LANCINI,http://publications.europa.eu/resource/authority/country/ITA,org/4908,def/ep-roles/MEMBER,4/17/18,7/1/19,ID,
125023,Anja HAZEKAMP,http://publications.europa.eu/resource/authority/country/NLD,org/4281,def/ep-roles/MEMBER_BUREAU,12/15/15,7/1/19,The Left,
197408,Hildegard BENTELE,http://publications.europa.eu/resource/authority/country/DEU,org/5153,def/ep-roles/MEMBER,7/2/19,7/15/24,EPP,
197680,Aurélia BEIGNEUX,http://publications.europa.eu/resource/authority/country/FRA,org/5588,def/ep-roles/MEMBER,7/2/19,7/15/24,ID,
197571,Nikolaj VILLUMSEN,http://publications.europa.eu/resource/authority/country/DNK,org/5151,def/ep-roles/CHAIR_VICE,7/2/19,12/17/20,The Left,
197473,Christian DOLESCHAL,http://publications.europa.eu/resource/authority/country/DEU,org/7018,def/ep-roles/MEMBER,7/16/24,,EPP,
197731,Clare DALY,http://publications.europa.eu/resource/authority/country/IRL,org/6259,def/ep-roles/MEMBER,12/18/20,7/15/24,The Left,
197770,Martin HOJSÍK,http://publications.europa.eu/resource/authority/country/SVK,org/5704,def/ep-roles/MEMBER,7/2/19,7/15/24,Renew Europe,
96779,Danuta Maria HÜBNER,http://publications.europa.eu/resource/authority/country/POL,org/5153,def/ep-roles/MEMBER,7/2/19,7/15/24,EPP,
197767,Eugen JURZYCA,http://publications.europa.eu/resource/authority/country/SVK,org/5148,def/ep-roles/MEMBER_BUREAU,7/2/19,7/15/24,ECR,
88715,José GUSMÃO,http://publications.europa.eu/resource/authority/country/PRT,org/5151,def/ep-roles/MEMBER,7/2/19,12/17/20,The Left,
96830,Enikő GYŐRI,http://publications.europa.eu/resource/authority/country/HUN,org/2952,def/ep-roles/MEMBER,7/14/09,9/15/09,EPP,
125046,Jonás FERNÁNDEZ,http://publications.europa.eu/resource/authority/country/ESP,org/4284,def/ep-roles/MEMBER,7/1/14,7/1/19,S&D,
197839,Radan KANEV,http://publications.europa.eu/resource/authority/country/BGR,org/7018,def/ep-roles/MEMBER,7/16/24,,EPP,
96998,Evelyn REGNER,http://publications.europa.eu/resource/authority/country/AUT,org/5154,def/ep-roles/MEMBER,7/2/19,7/15/24,S&D,
